Material Name,Material Code,Item Category,Item Group,UOM
"0.75 HP/0.55 KW/FRAME :80,TEFC/900 RPM MOTOR/LAXMI HYDRAULIC","0.75 HP/0.55 KW/FRAME :80,TEFC/900 RPM MOTOR/LAXMI HYDRAULIC",ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0.75 HP/0.55 KW/FRAME :ND80D/910 RPM 3P FLANGE MOTOR/CROMPTON CREAVES,0.75 HP/0.55 KW/FRAME :ND80D/910 RPM 3P FLANGE MOTOR/CROMPTON CREAVES,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0.75 SQMM X 12 CORE COPPER FLEXIBLE CABLE,0.75 SQMM X 12 CORE COPPER FLEXIBLE CABLE,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0.75 SQMM X 12 CORE COPPER FLEXIBLE CABLE.,0.75 SQMM X 12 CORE COPPER FLEXIBLE CABLE.,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,MTRS
0.75 SQMM X 2 CORE SHIELDED CABLE,0.75 SQMM X 2 CORE SHIELDED CABLE,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,MTRS
0.75 SQMM X 3 CORE SHIELDED CABLE,0.75 SQMM X 3 CORE SHIELDED CABLE,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,MTRS
0.75 SQMM X 3 PAIR SHIELDED CABLE,0.75 SQMM X 3 PAIR SHIELDED CABLE,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,MTRS
01169 KIMSOFT BATHROOM TISSUE 200S,01169 KIMSOFT BATHROOM TISSUE 200S,GENERAL,STORES AND SPARES-IND,Rolls
027 H 1030 ICM 20A VALVE (DANFOSS),027 H 1030 ICM 20A VALVE (DANFOSS),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
027 H 1190 ICM 20 SPARE KIT (DANFOSS),027 H 1190 ICM 20 SPARE KIT (DANFOSS),PROCESSING CONSUMABLES,STORES AND SPARES-IND,NOS
027 H 1190 SERVICE KIT VALVE (DANFOSS)(S),027 H 1190 SERVICE KIT VALVE (DANFOSS)(S),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
031589 BOLT FOR 180 KVA GENERATOR,031589 BOLT FOR 180 KVA GENERATOR,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
032143 ELBOW FOR 180 KVA GENERATOR,032143 ELBOW FOR 180 KVA GENERATOR,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
033 - S.DISK,033 - S.DISK,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
060 G 2100 AKS 33 (DANFOSS(S),060 G 2100 AKS 33 (DANFOSS(S),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0686 â€“EB1 PGE 1 LTR,0686 â€“EB1 PGE 1 LTR,GENERAL,STORES AND SPARES-IND,NOS
06MM CONNECTER - 06X06 M,06MM CONNECTER - 06X06 M,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
06MM STERT CONNECTER - 1/4 INCH X06MM,06MM STERT CONNECTER - 1/4 INCH X06MM,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0765-ACE2G ACE 1 LTR,0765-ACE2G ACE 1 LTR,GENERAL,STORES AND SPARES-IND,NOS
0765â€“EB6 PGE,0765â€“EB6 PGE,GENERAL,STORES AND SPARES-IND,LTS
